parameter	family	parameter_group	transformation	in_vivo_de_initial_and_optimizer	in_vitro_de_initial_and_optimizer	cross_family_direction	direction_agreement	paired_endpoint_to_initial_width90_ratio_max	max_active_bound_fraction	interpretation_limit
O2_crit	C01	Oxygen response	log10	DE init 0.223 [0.186, 0.268]; endpoint 0.223 [0.223, 0.223]; bound=0%	DE init 1.57 [1.31, 1.89]; endpoint 1.57 [1.57, 1.57]; bound=0%	lower in vivo	TRUE	0	0	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
O2_crit	C02	Oxygen response	log10	DE init 0.148 [0.118, 0.186]; endpoint 0.148 [0.148, 0.148]; bound=0%	DE init 1.57 [1.25, 1.98]; endpoint 1.57 [1.57, 1.57]; bound=0%	lower in vivo	TRUE	0	0	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
n_O	C01	Oxygen response	identity	DE init 2.17 [1.83, 2.51]; endpoint 2.17 [2.17, 2.17]; bound=0%	DE init 1.97 [1.63, 2.31]; endpoint 1.97 [1.97, 1.97]; bound=0%	family-dependent or overlaps equality	FALSE	0	0	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
n_O	C02	Oxygen response	identity	DE init 1.65 [1.35, 1.95]; endpoint 1.65 [1.65, 1.65]; bound=0%	DE init 1.97 [1.67, 2.27]; endpoint 1.97 [1.97, 1.97]; bound=0%	family-dependent or overlaps equality	FALSE	0	0	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
alpha_o2	C01	Ploidy-linked growth and death	log10	DE init 2.53 [2.26, 2.73]; endpoint 2.69 [2.69, 2.69]; bound=0%	DE init 0.530 [0.503, 0.592]; endpoint 0.500 [0.500, 0.500]; bound=99.6%	higher in vivo	TRUE	0	1	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
alpha_o2	C02	Ploidy-linked growth and death	log10	DE init 1.69 [1.56, 1.77]; endpoint 1.77 [1.77, 1.77]; bound=0%	DE init 0.522 [0.502, 0.567]; endpoint 0.500 [0.500, 0.500]; bound=100%	higher in vivo	TRUE	0	1	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
gamma_growth	C01	Ploidy-linked growth and death	identity	DE init 3.23 [2.44, 3.73]; endpoint 3.31 [3.31, 3.31]; bound=0%	DE init 1.60 [1.51, 1.92]; endpoint 1.50 [1.50, 1.50]; bound=100%	higher in vivo	TRUE	0	1	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
gamma_growth	C02	Ploidy-linked growth and death	identity	DE init 2.80 [2.09, 3.24]; endpoint 2.86 [2.86, 2.86]; bound=0%	DE init 1.58 [1.51, 1.88]; endpoint 1.50 [1.50, 1.50]; bound=100%	higher in vivo	TRUE	0	1	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
mu_hp	C01	Ploidy-linked growth and death	log10	DE init 0.0467 [0.0123, 0.104]; endpoint 0.0515 [0.0515, 0.0515]; bound=0%	DE init 0.00574 [0.00506, 0.0101]; endpoint 0.00500 [0.00500, 0.00500]; bound=99.8%	higher in vivo	TRUE	0	1	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
mu_hp	C02	Ploidy-linked growth and death	log10	DE init 0.0397 [0.0104, 0.0885]; endpoint 0.0434 [0.0434, 0.0434]; bound=0%	DE init 0.00571 [0.00505, 0.0102]; endpoint 0.00500 [0.00500, 0.00500]; bound=100%	higher in vivo	TRUE	0	1	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
gamma_mu	C01	Ploidy-linked growth and death	identity	DE init 2.57 [1.95, 2.97]; endpoint 2.64 [2.64, 2.64]; bound=0%	DE init 1.28 [1.21, 1.54]; endpoint 1.20 [1.20, 1.21]; bound=94%	higher in vivo	TRUE	0.01686926290541	0.984	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
gamma_mu	C02	Ploidy-linked growth and death	identity	DE init 2.59 [1.96, 2.99]; endpoint 2.66 [2.66, 2.66]; bound=0%	DE init 1.28 [1.21, 1.54]; endpoint 1.20 [1.20, 1.20]; bound=98.4%	higher in vivo	TRUE	0.01686926290541	0.984	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
buffer_smax	C01	Post-missegregation survival	identity	DE init 0.871 [0.735, 0.986]; endpoint 0.909 [0.909, 0.909]; bound=0%	DE init 0.961 [0.826, 0.999]; endpoint 1.00 [1.00, 1.00]; bound=99.6%	lower in vivo	TRUE	0	0.998	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
buffer_smax	C02	Post-missegregation survival	identity	DE init 0.864 [0.728, 0.985]; endpoint 0.900 [0.900, 0.900]; bound=0%	DE init 0.964 [0.828, 0.999]; endpoint 1.00 [1.00, 1.00]; bound=99.8%	lower in vivo	TRUE	0	0.998	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
buffer_beta	C01	Post-missegregation survival	log10	DE init 0.165 [0.133, 0.205]; endpoint 0.165 [0.165, 0.165]; bound=0%	DE init 1.60 [1.29, 1.98]; endpoint 1.60 [1.60, 1.60]; bound=0%	lower in vivo	TRUE	0	0	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
buffer_beta	C02	Post-missegregation survival	log10	DE init 0.310 [0.267, 0.358]; endpoint 0.310 [0.310, 0.310]; bound=0%	DE init 1.60 [1.38, 1.85]; endpoint 1.60 [1.60, 1.60]; bound=0%	lower in vivo	TRUE	0	0	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
buffer_n_exp	C01	Post-missegregation survival	log10	DE init 9.37 [7.41, 9.94]; endpoint 10.0 [10.0, 10.0]; bound=99.6%	DE init 3.32 [2.34, 5.84]; endpoint 3.16 [3.16, 3.16]; bound=0%	higher in vivo	TRUE	0	0.996	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
buffer_n_exp	C02	Post-missegregation survival	log10	DE init 9.37 [7.41, 9.94]; endpoint 10.0 [10.0, 10.0]; bound=0%	DE init 3.32 [2.34, 5.84]; endpoint 3.16 [3.16, 3.16]; bound=0%	higher in vivo	TRUE	0	0.996	descriptive optimizer-solution concentration relative to the DE initial population; not posterior uncertainty or proof of structural identifiability
